Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
1,9i,--,14.0,13.0,14.0,13.0,51.0,49.0,51.0,49.0,0,0,54.0,54.0,--,9°,9°,--,0,--,--
2,9i,--,72.0,70.0,73.0,70.0,105.0,102.0,106.0,103.0,13,13,77.0,78.0,--,12°,13°,--,1L,--,--
3,9i,--,97.0,96.0,101.0,98.0,116.0,115.0,119.0,117.0,39,43,80.0,80.0,--,20°,22°,--,3L,--,--
4,9i,--,110.0,109.0,114.0,114.0,117.0,116.0,121.0,120.0,59,62,89.0,91.0,--,23°,24°,--,5L,--,--
5,9i,--,82.0,81.0,83.0,82.0,95.0,94.0,96.0,96.0,39,39,71.0,71.0,--,25°,26°,--,1L,--,--
6,9i,--,43.0,43.0,43.0,43.0,72.0,72.0,72.0,72.0,10,10,64.0,64.0,--,15°,17°,--,1R,--,--
7,9i,--,87.0,86.0,90.0,87.0,112.0,110.0,114.0,113.0,30,30,78.0,79.0,--,18°,19°,--,0,--,--
8,9i,--,59.0,57.0,59.0,57.0,89.0,86.0,89.0,86.0,13,13,66.0,66.0,--,16°,17°,--,2L,--,--
9,9i,--,35.0,32.0,35.0,32.0,82.0,78.0,82.0,78.0,3,3,69.0,70.0,--,6°,7°,--,0,--,--
10,8i,--,67.0,65.0,67.0,66.0,90.0,89.0,91.0,90.0,20,20,66.0,66.0,--,19°,20°,--,1L,--,--
11,8i,--,31.0,22.0,31.0,22.0,90.0,81.0,90.0,81.0,0,0,67.0,67.0,--,3°,4°,--,0,--,--
12,8i,--,33.0,25.0,34.0,25.0,93.0,85.0,94.0,85.0,0,0,73.0,73.0,--,3°,4°,--,0,--,--
13,8i,--,101.0,100.0,104.0,102.0,119.0,118.0,122.0,121.0,36,39,83.0,85.0,--,18°,20°,--,2L,--,--
14,8i,--,51.0,48.0,51.0,48.0,85.0,83.0,86.0,83.0,10,10,70.0,70.0,--,13°,14°,--,1L,--,--
15,8i,--,28.0,26.0,28.0,26.0,57.0,55.0,57.0,55.0,7,7,47.0,47.0,--,17°,19°,--,0,--,--
16,8i,--,75.0,73.0,77.0,73.0,108.0,106.0,109.0,106.0,10,10,82.0,83.0,--,10°,11°,--,1L,--,--
17,SW,--,28.0,22.0,28.0,22.0,60.0,54.0,60.0,54.0,0,0,34.0,34.0,--,5°,5°,--,0,--,--
18,SW,--,14.0,13.0,14.0,13.0,27.0,27.0,27.0,27.0,7,7,24.0,24.0,--,30°,31°,--,0,--,--
19,SW,--,32.0,31.0,32.0,31.0,57.0,56.0,57.0,56.0,10,10,42.0,42.0,--,26°,28°,--,0,--,--
20,SW,--,32.0,31.0,32.0,31.0,50.0,49.0,50.0,49.0,16,16,40.0,40.0,--,33°,35°,--,0,--,--
21,7i,--,87.0,86.0,90.0,87.0,118.0,116.0,119.0,118.0,26,26,80.0,81.0,--,16°,18°,--,3L,--,--
22,7i,--,116.0,115.0,121.0,120.0,130.0,129.0,136.0,135.0,52,56,93.0,95.0,--,20°,22°,--,2L,--,--
23,7i,--,100.0,97.0,102.0,101.0,117.0,116.0,119.0,118.0,39,43,81.0,82.0,--,20°,21°,--,1L,--,--
24,7i,--,42.0,39.0,42.0,39.0,63.0,60.0,63.0,60.0,3,3,53.0,53.0,--,6°,7°,--,0,--,--
25,7i,--,72.0,70.0,73.0,71.0,105.0,103.0,106.0,104.0,16,16,78.0,78.0,--,15°,16°,--,3L,--,--
26,7i,--,79.0,77.0,80.0,78.0,115.0,114.0,116.0,114.0,16,16,81.0,83.0,--,14°,15°,--,3L,--,--
27,7i,--,94.0,91.0,96.0,93.0,133.0,130.0,136.0,132.0,10,10,98.0,100.0,--,7°,8°,--,0,--,--
28,7i,--,119.0,118.0,125.0,124.0,133.0,132.0,139.0,138.0,52,56,95.0,98.0,--,19°,20°,--,3L,--,--
29,7i,--,103.0,103.0,106.0,106.0,107.0,107.0,110.0,110.0,62,66,81.0,82.0,--,27°,28°,--,0,--,--
30,7i,--,113.0,114.0,117.0,118.0,125.0,125.0,129.0,129.0,56,59,93.0,94.0,--,20°,22°,--,2R,--,--
31,7i,--,127.0,126.0,133.0,132.0,137.0,136.0,143.0,142.0,66,69,99.0,101.0,--,20°,22°,--,2L,--,--
32,7i,--,104.0,103.0,107.0,106.0,113.0,112.0,116.0,115.0,52,52,83.0,85.0,--,22°,24°,--,3L,--,--
33,7i,--,82.0,81.0,83.0,82.0,117.0,116.0,118.0,117.0,10,10,94.0,96.0,--,8°,9°,--,2R,--,--
34,D,--,100.0,97.0,102.0,101.0,138.0,136.0,140.0,139.0,20,20,85.0,86.0,--,9°,10°,--,1L,--,--
35,D,--,95.0,95.0,97.0,98.0,129.0,130.0,132.0,132.0,20,20,92.0,93.0,--,11°,12°,--,2R,--,--
36,D,--,27.0,25.0,27.0,25.0,67.0,65.0,67.0,65.0,3,3,68.0,68.0,--,10°,11°,--,0,--,--
37,D,--,26.0,24.0,26.0,24.0,61.0,59.0,61.0,59.0,3,3,57.0,57.0,--,12°,13°,--,0,--,--
38,D,--,52.0,48.0,52.0,48.0,81.0,78.0,82.0,78.0,3,3,107.0,111.0,--,3°,4°,--,1L,--,--
39,D,--,83.0,79.0,85.0,80.0,135.0,129.0,136.0,130.0,7,7,104.0,107.0,--,5°,6°,--,0,--,--
40,D,--,25.0,19.0,25.0,19.0,83.0,77.0,83.0,77.0,0,0,72.0,72.0,--,4°,5°,--,1R,--,--
41,D,--,102.0,95.0,105.0,98.0,154.0,148.0,157.0,150.0,7,7,114.0,118.0,--,5°,5°,--,1L,--,--
42,D,--,102.0,97.0,105.0,101.0,151.0,148.0,154.0,150.0,10,10,113.0,117.0,--,6°,7°,--,2L,--,--
43,D,--,28.0,22.0,28.0,22.0,60.0,55.0,60.0,55.0,3,3,37.0,37.0,--,15°,16°,--,3L,--,--
44,D,--,38.0,37.0,38.0,37.0,68.0,66.0,68.0,66.0,10,10,55.0,55.0,--,18°,19°,--,0,--,--
45,D,--,103.0,101.0,106.0,104.0,142.0,139.0,145.0,142.0,16,16,106.0,109.0,--,10°,11°,--,2L,--,--
