Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
1,SW,--,32.0,32.0,32.0,32.0,51.0,50.0,51.0,50.0,13,13,43.0,43.0,--,30°,32°,--,0,--,--
2,SW,--,21.0,20.0,21.0,20.0,40.0,40.0,40.0,40.0,7,7,37.0,37.0,--,24°,26°,--,0,--,--
3,SW,--,22.0,22.0,22.0,22.0,42.0,42.0,42.0,42.0,10,10,38.0,38.0,--,24°,25°,--,0,--,--
4,SW,--,36.0,36.0,36.0,36.0,54.0,54.0,54.0,54.0,20,20,43.0,43.0,--,32°,34°,--,1L,--,--
5,SW,--,25.0,25.0,25.0,25.0,45.0,45.0,45.0,45.0,10,10,38.0,38.0,--,27°,29°,--,0,--,--
6,SW,--,35.0,34.0,35.0,34.0,59.0,59.0,59.0,59.0,13,13,39.0,39.0,--,23°,25°,--,1L,--,--
7,SW,--,37.0,37.0,37.0,37.0,57.0,57.0,58.0,57.0,16,16,48.0,48.0,--,30°,32°,--,0,--,--
8,9i,--,74.0,73.0,74.0,74.0,77.0,77.0,78.0,78.0,49,49,66.0,66.0,--,32°,33°,--,1R,--,--
9,9i,--,71.0,71.0,72.0,71.0,79.0,79.0,80.0,80.0,36,36,64.0,65.0,--,27°,29°,--,1L,--,--
10,9i,--,49.0,46.0,49.0,46.0,91.0,86.0,91.0,86.0,3,3,76.0,77.0,--,8°,9°,--,0,--,--
11,9i,--,57.0,57.0,58.0,57.0,67.0,66.0,67.0,66.0,30,30,58.0,58.0,--,27°,29°,--,0,--,--
12,9i,--,82.0,81.0,83.0,82.0,87.0,87.0,89.0,89.0,52,52,69.0,69.0,--,29°,31°,--,1R,--,--
13,9i,--,94.0,94.0,96.0,96.0,97.0,98.0,101.0,101.0,66,66,77.0,78.0,--,29°,30°,--,3L,--,--
14,9i,--,58.0,58.0,59.0,58.0,72.0,72.0,72.0,72.0,26,26,59.0,59.0,--,26°,28°,--,1L,--,--
15,9i,--,86.0,85.0,87.0,86.0,90.0,90.0,92.0,91.0,56,56,73.0,74.0,--,26°,28°,--,0,--,--
16,9i,--,54.0,54.0,54.0,54.0,75.0,74.0,75.0,75.0,20,20,58.0,59.0,--,21°,22°,--,1L,--,--
17,9i,--,69.0,69.0,70.0,70.0,74.0,74.0,75.0,75.0,39,39,63.0,64.0,--,30°,31°,--,1L,--,--
18,9i,--,54.0,54.0,54.0,54.0,79.0,79.0,79.0,79.0,16,16,62.0,62.0,--,19°,20°,--,1L,--,--
19,9i,--,78.0,78.0,79.0,79.0,86.0,86.0,87.0,86.0,43,46,69.0,69.0,--,27°,28°,--,2L,--,--
20,9i,--,65.0,63.0,66.0,63.0,92.0,90.0,92.0,91.0,13,13,73.0,73.0,--,14°,15°,--,1R,--,--
21,9i,--,82.0,82.0,83.0,83.0,102.0,102.0,103.0,103.0,30,30,75.0,75.0,--,19°,21°,--,0,--,--
22,9i,--,67.0,67.0,68.0,67.0,72.0,72.0,73.0,72.0,39,39,63.0,63.0,--,29°,30°,--,1L,--,--
23,9i,--,79.0,79.0,80.0,80.0,84.0,83.0,85.0,84.0,49,49,70.0,71.0,--,28°,30°,--,0,--,--
24,9i,--,69.0,69.0,70.0,69.0,72.0,71.0,72.0,72.0,46,49,64.0,64.0,--,33°,34°,--,1R,--,--
25,9i,--,71.0,70.0,71.0,71.0,75.0,74.0,75.0,75.0,46,46,63.0,63.0,--,32°,33°,--,0,--,--
26,9i,--,90.0,90.0,92.0,91.0,92.0,92.0,94.0,93.0,79,82,77.0,78.0,--,33°,34°,--,0,--,--
27,9i,--,85.0,85.0,86.0,86.0,86.0,86.0,89.0,87.0,69,69,78.0,79.0,--,29°,31°,--,1R,--,--
28,9i,--,85.0,86.0,87.0,87.0,95.0,96.0,96.0,97.0,39,43,75.0,76.0,--,24°,25°,--,3L,--,--
29,9i,--,86.0,85.0,87.0,87.0,90.0,89.0,91.0,91.0,59,62,73.0,73.0,--,31°,32°,--,1L,--,--
30,8i,--,17.0,16.0,17.0,16.0,49.0,48.0,49.0,48.0,3,3,59.0,59.0,--,14°,15°,--,0,--,--
31,8i,--,104.0,103.0,108.0,106.0,121.0,120.0,125.0,124.0,46,46,85.0,86.0,--,19°,21°,--,0,--,--
32,8i,--,96.0,96.0,100.0,98.0,98.0,98.0,102.0,101.0,72,72,80.0,81.0,--,30°,31°,--,1R,--,--
33,8i,--,87.0,86.0,90.0,87.0,92.0,91.0,93.0,92.0,59,59,76.0,76.0,--,28°,30°,--,1R,--,--
34,8i,--,96.0,96.0,100.0,98.0,100.0,100.0,103.0,102.0,62,66,80.0,80.0,--,27°,29°,--,1L,--,--
35,8i,--,92.0,92.0,94.0,93.0,101.0,100.0,103.0,102.0,46,49,75.0,76.0,--,24°,26°,--,3L,--,--
36,8i,-0.3,67.0,66.0,67.0,66.0,73.0,72.0,74.0,73.0,33,33,62.0,62.0,2°L,26°,28°,3L,0,34,100.0
37,8i,0.39,93.0,92.0,95.0,94.0,96.0,95.0,98.0,97.0,62,62,77.0,78.0,1°L,29°,30°,5L,1L,9,100.0
38,8i,-0.02,82.0,81.0,83.0,82.0,87.0,86.0,89.0,87.0,46,46,71.0,71.0,2°L,26°,28°,8L,1L,20,100.0
39,8i,0.47,97.0,96.0,100.0,100.0,103.0,102.0,106.0,105.0,62,62,80.0,81.0,4°L,23°,25°,6L,0,8,100.0
40,8i,0.25,89.0,87.0,90.0,89.0,91.0,90.0,93.0,92.0,62,66,76.0,76.0,1°L,28°,29°,3L,1L,12,100.0
41,8i,0.72,101.0,101.0,104.0,103.0,104.0,103.0,107.0,106.0,72,72,83.0,84.0,1°L,27°,29°,4R,2R,4,100.0
42,8i,-0.06,78.0,77.0,79.0,78.0,83.0,83.0,84.0,83.0,43,43,69.0,69.0,0°,26°,28°,1R,1R,22,100.0
43,8i,0.5,93.0,92.0,95.0,94.0,96.0,95.0,98.0,97.0,66,66,80.0,81.0,2°L,27°,29°,1R,1R,7,100.0
44,8i,0.43,92.0,91.0,93.0,92.0,95.0,94.0,96.0,95.0,62,62,78.0,78.0,2°L,27°,29°,0R,1R,8,100.0
45,7i,-0.08,115.0,115.0,119.0,119.0,119.0,119.0,125.0,124.0,49,52,98.0,100.0,7°L,17°,19°,22L,3L,25,116.0
46,7i,0.23,109.0,109.0,114.0,114.0,115.0,115.0,119.0,119.0,62,62,91.0,93.0,4°R,21°,23°,12R,2R,14,116.0
47,7i,0.03,120.0,120.0,126.0,126.0,132.0,132.0,138.0,138.0,62,66,94.0,96.0,7°L,21°,22°,19L,2L,21,116.0
48,7i,0.17,100.0,98.0,103.0,102.0,107.0,107.0,110.0,109.0,52,52,83.0,84.0,0°,22°,24°,1R,0,16,116.0
49,7i,-0.64,66.0,65.0,67.0,66.0,80.0,79.0,81.0,80.0,26,26,68.0,68.0,15°R,22°,24°,22R,2R,60,116.0
50,7i,-0.68,49.0,48.0,49.0,48.0,81.0,80.0,82.0,80.0,10,10,62.0,62.0,0°,10°,11°,3L,1L,68,116.0
51,7i,0.53,110.0,110.0,115.0,114.0,118.0,117.0,121.0,121.0,62,66,90.0,91.0,1°L,23°,24°,5L,0,8,116.0
52,7i,-0.58,69.0,67.0,69.0,68.0,101.0,98.0,101.0,98.0,16,16,85.0,86.0,11°R,13°,14°,20R,3R,56,116.0
53,7i,-0.87,24.0,24.0,24.0,24.0,44.0,44.0,44.0,44.0,13,13,44.0,44.0,1°R,30°,31°,1L,0,92,116.0
54,7i,-0.01,95.0,94.0,97.0,96.0,109.0,108.0,112.0,110.0,39,39,78.0,78.0,2°L,20°,22°,9L,1L,24,116.0
55,7i,0.2,113.0,113.0,118.0,117.0,118.0,118.0,122.0,122.0,72,75,92.0,94.0,7°R,23°,25°,14R,0,15,116.0
56,7i,0.03,98.0,97.0,102.0,101.0,106.0,105.0,108.0,107.0,52,52,80.0,80.0,5°R,23°,25°,11R,1R,22,116.0
57,7i,-0.13,102.0,102.0,105.0,104.0,107.0,107.0,110.0,110.0,59,62,85.0,86.0,6°R,23°,24°,20R,3R,27,116.0
58,7i,0.83,114.0,114.0,118.0,118.0,118.0,117.0,122.0,122.0,69,72,92.0,94.0,4°R,23°,25°,3R,1L,4,116.0
59,7i,-0.58,68.0,66.0,69.0,67.0,98.0,96.0,100.0,97.0,16,16,81.0,82.0,10°R,14°,15°,19R,3R,56,116.0
60,7i,0.54,114.0,114.0,118.0,118.0,122.0,121.0,127.0,126.0,66,69,92.0,93.0,1°R,22°,23°,7L,2L,8,116.0
61,7i,0.32,112.0,112.0,116.0,116.0,118.0,118.0,122.0,122.0,62,66,93.0,94.0,0°,21°,23°,10L,3L,12,116.0
62,7i,0.03,97.0,96.0,100.0,98.0,110.0,109.0,113.0,112.0,43,43,80.0,80.0,2°L,20°,21°,9L,2L,22,116.0
63,7i,-0.04,107.0,107.0,112.0,112.0,147.0,145.0,150.0,150.0,20,20,115.0,119.0,1°R,10°,12°,23L,4L,--,--
64,7i,-0.14,81.0,80.0,82.0,81.0,119.0,118.0,120.0,119.0,13,13,114.0,119.0,1°R,11°,12°,16L,2L,--,--
65,7i,-0.04,152.0,152.0,164.0,164.0,185.0,185.0,197.0,197.0,33,36,121.0,126.0,6°L,8°,9°,37L,4L,--,--
66,7i,-0.2,63.0,63.0,63.0,63.0,115.0,115.0,115.0,115.0,7,7,101.0,104.0,8°L,6°,7°,22L,1L,--,--
67,7i,-0.13,96.0,96.0,98.0,98.0,136.0,136.0,138.0,138.0,16,16,117.0,121.0,0°,10°,11°,26L,3L,--,--
68,7i,-0.27,37.0,35.0,37.0,35.0,91.0,89.0,91.0,89.0,3,3,83.0,84.0,2°R,5°,5°,10L,1R,--,--
69,7i,0.11,127.0,127.0,133.0,133.0,164.0,164.0,171.0,171.0,23,23,115.0,119.0,2°R,7°,8°,3R,0,--,--
70,7i,0.11,147.0,147.0,156.0,157.0,175.0,176.0,186.0,187.0,43,46,115.0,119.0,4°R,10°,10°,22R,2R,--,--
71,7i,0.18,144.0,144.0,155.0,155.0,187.0,186.0,197.0,197.0,23,26,122.0,127.0,3°R,7°,8°,20R,2R,--,--
