Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
1,8i,--,78.0,78.0,79.0,79.0,80.0,80.0,81.0,81.0,75,75,70.0,71.0,--,38°,39°,--,1R,--,--
2,8i,--,97.0,96.0,101.0,100.0,100.0,98.0,102.0,101.0,85,89,83.0,85.0,--,32°,34°,--,0,--,--
3,8i,--,91.0,90.0,93.0,92.0,93.0,92.0,95.0,94.0,79,82,78.0,79.0,--,34°,35°,--,0,--,--
4,8i,--,108.0,107.0,112.0,112.0,113.0,112.0,116.0,116.0,72,75,81.0,82.0,--,29°,30°,--,3L,--,--
5,8i,--,109.0,109.0,114.0,114.0,114.0,113.0,118.0,117.0,75,79,82.0,83.0,--,29°,31°,--,3L,--,--
6,8i,--,81.0,81.0,82.0,82.0,97.0,97.0,98.0,98.0,36,36,73.0,73.0,--,22°,23°,--,2L,--,--
7,8i,--,110.0,109.0,115.0,114.0,114.0,113.0,118.0,117.0,75,79,86.0,87.0,--,27°,29°,--,5L,--,--
8,9i,--,107.0,106.0,112.0,110.0,119.0,118.0,122.0,121.0,49,49,87.0,88.0,--,19°,20°,--,1L,--,--
9,9i,--,110.0,110.0,115.0,115.0,114.0,114.0,118.0,118.0,85,89,82.0,83.0,--,33°,34°,--,3L,--,--
10,9i,--,96.0,95.0,98.0,97.0,100.0,98.0,102.0,101.0,79,79,78.0,78.0,--,35°,36°,--,2L,--,--
11,9i,--,30.0,21.0,30.0,21.0,84.0,75.0,84.0,75.0,0,0,81.0,82.0,--,3°,3°,--,0,--,--
12,9i,--,109.0,108.0,114.0,113.0,115.0,114.0,118.0,118.0,89,92,83.0,84.0,--,32°,34°,--,2L,--,--
13,9i,--,90.0,89.0,92.0,91.0,91.0,91.0,93.0,92.0,89,89,79.0,79.0,--,38°,39°,--,2L,--,--
14,9i,--,44.0,32.0,44.0,32.0,105.0,93.0,105.0,93.0,0,0,98.0,100.0,--,3°,4°,--,0,--,--
