Shot #,球桿,桿數優勢,練習球落點距離(碼),無坡落點距離-練習球(碼),比賽球落點(碼),無坡落點距離-比賽球(碼),總距離-練習球(碼),無坡總距離-練習球(碼),總距離-比賽球(碼),無坡總距離-比賽球(碼),最高點 (英尺),頂點（英尺） 高级,球速(mph),球速 (mph) 高級,出球方向,出球角度(度),發射角度（度）高級,從中心點(碼),偏移,離洞距離(碼),目標(碼)
1,SW,--,47.0,46.0,47.0,46.0,59.0,59.0,59.0,59.0,30,30,48.0,48.0,--,36°,37°,--,0,--,--
2,SW,--,51.0,51.0,52.0,51.0,65.0,63.0,65.0,63.0,26,26,54.0,54.0,--,28°,30°,--,0,--,--
3,SW,--,45.0,42.0,45.0,42.0,78.0,74.0,78.0,74.0,7,7,70.0,70.0,--,11°,12°,--,1R,--,--
4,SW,--,74.0,72.0,74.0,73.0,86.0,85.0,87.0,86.0,30,30,68.0,68.0,--,22°,24°,--,0,--,--
5,SW,--,33.0,32.0,33.0,32.0,47.0,46.0,47.0,46.0,20,20,42.0,42.0,--,35°,36°,--,0,--,--
6,SW,--,32.0,30.0,32.0,30.0,61.0,59.0,61.0,59.0,7,7,48.0,48.0,--,14°,15°,--,0,--,--
7,9i,--,80.0,79.0,81.0,80.0,82.0,82.0,83.0,83.0,66,66,68.0,69.0,--,37°,38°,--,1L,--,--
8,9i,--,27.0,25.0,27.0,25.0,61.0,59.0,61.0,59.0,3,3,60.0,60.0,--,11°,13°,--,0,--,--
9,9i,--,72.0,72.0,73.0,72.0,91.0,90.0,91.0,91.0,26,26,76.0,77.0,--,20°,21°,--,3R,--,--
10,9i,--,60.0,60.0,61.0,60.0,65.0,65.0,66.0,65.0,46,46,60.0,60.0,--,36°,37°,--,1R,--,--
11,9i,--,98.0,97.0,102.0,100.0,106.0,105.0,109.0,108.0,52,52,83.0,84.0,--,22°,24°,--,1R,--,--
12,9i,--,89.0,87.0,91.0,90.0,93.0,93.0,95.0,94.0,52,56,74.0,74.0,--,28°,30°,--,1L,--,--
13,9i,--,12.0,10.0,12.0,10.0,48.0,46.0,48.0,46.0,0,0,57.0,57.0,--,8°,9°,--,0,--,--
14,9i,--,108.0,107.0,112.0,110.0,133.0,132.0,138.0,137.0,30,30,93.0,94.0,--,13°,14°,--,0,--,--
15,9i,--,106.0,105.0,109.0,109.0,108.0,108.0,113.0,113.0,75,79,85.0,86.0,--,29°,30°,--,3L,--,--
16,9i,--,106.0,105.0,109.0,108.0,108.0,107.0,112.0,110.0,85,89,85.0,86.0,--,31°,32°,--,1L,--,--
17,9i,--,101.0,101.0,104.0,103.0,103.0,102.0,106.0,105.0,72,75,81.0,82.0,--,30°,31°,--,2L,--,--
18,9i,--,93.0,92.0,94.0,93.0,94.0,93.0,96.0,95.0,72,75,78.0,79.0,--,32°,34°,--,0,--,--
19,9i,--,93.0,92.0,95.0,94.0,95.0,94.0,97.0,96.0,92,92,79.0,80.0,--,38°,39°,--,1R,--,--
20,9i,--,69.0,67.0,70.0,68.0,97.0,95.0,98.0,96.0,20,20,69.0,70.0,--,17°,19°,--,0,--,--
21,9i,--,20.0,20.0,20.0,20.0,35.0,35.0,35.0,35.0,10,10,30.0,30.0,--,32°,34°,--,0,--,--
22,8i,--,103.0,102.0,106.0,105.0,105.0,105.0,108.0,107.0,79,79,83.0,84.0,--,30°,31°,--,0,--,--
23,8i,--,97.0,96.0,101.0,98.0,116.0,115.0,119.0,118.0,33,33,89.0,90.0,--,17°,18°,--,3R,--,--
24,8i,--,94.0,93.0,96.0,95.0,105.0,105.0,107.0,107.0,49,49,76.0,77.0,--,25°,26°,--,3L,--,--
25,8i,--,95.0,94.0,97.0,96.0,97.0,97.0,101.0,100.0,69,72,84.0,85.0,--,29°,30°,--,2R,--,--
26,8i,--,46.0,39.0,47.0,39.0,97.0,90.0,97.0,90.0,3,3,76.0,76.0,--,5°,6°,--,0,--,--
27,8i,--,114.0,113.0,118.0,117.0,117.0,117.0,121.0,121.0,75,79,89.0,90.0,--,27°,28°,--,1L,--,--
